"gender","age","O","C","E","A","N","mach"
1,33,3.5,3.5,2.5,3,4.5,4.3
1,42,7,4,5.5,5.5,3.5,3.3
1,18,4.5,3.5,2.5,5,2,3.1
1,21,5.5,6.5,4,5.5,1,5
2,29,5.5,1,4.5,3.5,7,3.55
2,15,6,5,1,3.5,3.5,4.8
1,23,6,6.5,5.5,5.5,1,4.5
1,14,7,5,3,2.5,1,4.5
1,49,5,5,5.5,5.5,5,3.2
1,22,5.5,3,3,4,4,2.4
2,46,6.5,6.5,7,6.5,2,2.6
1,24,4,6,1.5,3.5,1,4.55
1,19,5,3.5,5.5,4,5.5,2.85
2,39,7,6.5,5,7,2.5,2.05
1,23,7,5.5,4.5,4.5,2.5,3.35
1,23,5,5.5,4,4,4,3.2
2,16,7,2.5,4,4.5,4.5,3.4
2,36,7,7,5,4,2.5,2.65
2,24,7,6.5,2,5,2,3.55
2,45,7,7,6.5,4.5,1.5,1.95
1,39,5.5,5,3.5,2.5,5,3.55
2,15,3.5,6.5,6.5,5,4,3.1
1,27,5.5,6.5,7,3,3,2.25
1,24,5.5,4,3,4,2,3.15
1,20,6.5,4,1,4,7,3.3
1,18,6,4.5,1,4.5,5.5,3.7
1,44,6.5,7,5.5,3,3.5,3.15
1,23,6.5,3.5,4.5,3.5,5.5,3.6
1,42,6,5,4,4,1,3.4
1,27,7,3,2.5,3,5,4.15
2,71,4.5,4,1,4.5,2,2.2
2,50,7,7,4.5,4.5,3.5,2.25
2,48,6,4.5,5.5,4,6,3.3
2,49,5.5,5,3.5,6.5,2,2.35
2,16,6,3.5,3,4,5.5,3.45
2,17,5.5,2.5,6,4.5,3.5,2.75
1,33,6,5.5,6,4,4,3.45
1,32,6.5,6.5,5.5,6.5,1.5,1.65
1,67,4,5.5,1.5,4,4.5,3.6
1,25,7,4.5,7,4.5,2,3.65
2,15,6.5,5.5,5,3.5,4,2.15
2,36,3.5,5.5,5.5,3.5,5,2.55
1,36,7,7,6,4.5,1.5,4
1,17,5,4.5,3.5,5,2,4.35
2,16,5,3.5,1,1.5,6,4.5
1,53,6,7,5.5,6,3.5,3.5
2,57,7,6,6.5,1.5,4,2.7
1,27,6.5,4,5,3.5,2,3.85
2,67,4.5,5.5,2,5.5,3.5,2.95
1,18,5.5,3.5,5.5,5,1.5,4.55
1,28,5.5,4,1.5,3,5.5,3.5
2,16,6,5,3,5,6,2.65
2,50,5.5,5.5,1,4.5,4,2.95
1,20,7,5.5,3,5.5,3,4.35
2,25,6.5,4.5,1,5.5,4.5,3.2
2,21,4.5,6.5,3,4.5,4.5,2.8
2,15,3,4.5,1,4.5,5.5,3.25
1,55,6,5,4.5,3,3,1.8
1,48,4.5,3,4.5,3.5,6,4.8
2,20,5,6,4.5,7,4.5,2.95
1,16,5,7,5,3.5,2.5,4
2,49,5.5,4.5,4.5,6.5,1,2.25
2,46,7,7,3,5.5,3.5,4.25
2,28,7,5.5,7,3.5,4.5,3.65
2,17,6.5,2,7,1,7,4.5
2,26,7,7,6,4.5,4.5,3.25
1,40,5,3.5,2.5,4.5,5,4.15
1,20,7,4,2.5,3,1,4.45
2,21,5.5,2.5,3,4,6.5,3.25
2,63,6,6.5,6,6.5,3.5,1.65
2,18,7,5,3.5,4.5,4,4.1
1,40,6,5,2.5,3,1.5,2.95
2,64,2.5,3,5.5,5.5,6,2.85
1,20,4,5,1,6,4,3.95
2,17,3,5,1.5,2,5.5,3.95
1,20,5.5,6,6,6,1,4
2,31,5.5,7,4,3,2,4.15
1,27,5,3.5,3.5,5,4,3.65
2,18,7,4,2.5,4.5,1,3.85
2,17,4,7,3,3.5,5,2.4
1,31,5,4.5,5,3,6.5,4.35
2,21,5.5,5.5,4,3,3.5,2.1
2,31,3,6,2,3.5,5,3.4
2,37,5.5,7,2.5,2.5,1.5,4.8
1,59,4,4.5,2,4,4,3.55
2,19,6.5,6.5,5.5,1.5,3,3.55
1,32,7,7,2.5,4,2.5,4.6
1,25,6.5,1,2,2,3,3.55
1,20,6,4,7,5.5,4,3.85
2,19,4,4,3,4.5,3.5,2.95
2,61,5,6.5,4.5,7,3.5,2.05
1,27,6,5,2,3,1,4.5
2,20,6.5,4,5.5,4.5,4.5,2.6
1,44,4,3,3,4,2.5,4.2
2,17,5.5,6.5,6.5,4,4.5,3.75
2,49,6,2,1,4.5,4,4.15
1,22,5.5,3.5,4.5,5,4,1.85
1,40,5.5,4.5,4.5,3.5,4,3.85
1,16,5.5,1.5,5.5,4.5,3.5,4.2
1,33,4,6.5,5.5,3,5,4.25
2,46,6.5,7,3.5,6.5,3,3.55
1,31,4.5,7,2,2,3,4.25
1,34,2.5,2.5,1,5.5,3.5,3.6
1,37,6,4.5,4.5,3.5,1.5,3.4
2,39,4,7,1,6.5,1,2.6
1,29,5.5,5,6.5,3.5,4,3.1
1,33,4.5,7,4.5,6,1,3
1,22,6,3.5,2.5,5,3,3.85
1,43,5.5,6,4,4,4.5,2.85
1,28,6.5,4.5,4.5,6,2,2.85
1,60,4.5,7,6.5,6.5,4,3.35
